N,P,K,temperature,humidity,ph,rainfall,label
38,135,203,23.76,93.66,5.97,100.83,apple
28,136,200,23.06,92.4,6.25,114.74,apple
15,123,204,22.53,92.55,6.37,115.38,apple
15,133,199,24.0,91.61,5.82,117.61,apple
2,123,205,22.37,90.79,5.74,124.98,apple
28,123,202,22.77,92.12,6.44,120.44,apple
2,143,196,22.71,90.45,5.67,109.89,apple
33,143,204,21.13,91.96,5.81,122.54,apple
30,122,197,21.38,92.72,5.57,106.14,apple
24,128,196,22.75,90.69,5.52,110.43,apple
33,121,203,22.46,94.76,5.61,114.84,apple
37,126,196,23.6,90.98,5.6,107.17,apple
7,141,195,23.88,93.45,5.51,104.91,apple
10,141,201,22.13,90.98,6.39,104.54,apple
35,131,203,22.43,93.92,5.89,102.72,apple
20,129,201,23.41,91.7,5.59,116.08,apple
30,137,200,22.91,90.7,5.6,118.6,apple
29,132,204,23.09,90.23,6.1,108.22,apple
13,126,204,23.11,92.8,6.38,108.18,apple
2,120,203,23.13,94.71,5.89,108.62,apple
