N,P,K,temperature,humidity,ph,rainfall,label
58,79,17,27.25,66.1,7.04,62.32,blackgram
33,75,21,33.05,68.94,6.69,62.3,blackgram
37,62,17,25.69,69.84,7.12,74.62,blackgram
34,80,19,31.49,63.06,6.52,71.48,blackgram
50,64,25,28.84,63.37,6.73,70.25,blackgram
49,72,15,31.56,67.84,7.14,74.87,blackgram
52,71,16,27.74,68.54,7.08,71.79,blackgram
40,68,17,34.13,65.15,7.73,70.41,blackgram
39,73,24,25.66,61.18,7.22,69.29,blackgram
56,79,15,29.48,63.2,7.45,71.89,blackgram
30,65,25,32.89,64.59,7.71,71.51,blackgram
20,72,19,32.48,64.35,7.4,65.82,blackgram
56,76,16,28.27,61.19,7.51,63.3,blackgram
53,67,17,31.78,69.02,7.3,61.47,blackgram
33,77,21,30.33,65.63,7.01,71.65,blackgram
44,58,18,28.04,65.07,6.81,72.5,blackgram
55,60,15,32.8,68.78,7.16,64.11,blackgram
44,63,15,26.42,64.51,7.34,63.47,blackgram
52,63,19,29.59,68.32,6.93,67.53,blackgram
25,65,21,33.86,68.59,6.88,69.24,blackgram
