N,P,K,temperature,humidity,ph,rainfall,label
53,73,77,19.71,18.1,7.33,73.64,chickpea
29,77,75,17.5,15.48,7.78,72.94,chickpea
42,74,83,19.26,14.28,7.55,65.78,chickpea
35,64,78,17.93,14.27,7.5,85.37,chickpea
35,66,81,19.37,15.77,6.14,85.25,chickpea
54,61,77,18.81,15.22,6.21,77.54,chickpea
31,78,76,17.57,15.0,8.52,89.31,chickpea
54,62,80,17.49,16.39,7.49,79.46,chickpea
58,66,79,20.99,19.33,8.72,93.55,chickpea
40,72,77,17.02,16.99,7.49,88.55,chickpea
25,78,76,17.48,15.76,7.23,66.97,chickpea
28,76,82,20.57,14.26,6.65,83.76,chickpea
30,70,79,20.27,19.97,7.31,69.64,chickpea
22,78,76,17.85,19.09,8.62,76.32,chickpea
60,61,78,20.71,19.84,6.32,94.04,chickpea
36,67,77,18.37,19.56,7.15,79.26,chickpea
32,71,85,20.63,14.44,6.4,92.07,chickpea
31,76,82,20.82,17.85,7.6,79.21,chickpea
58,63,81,19.81,14.7,6.52,78.97,chickpea
42,79,85,17.22,15.82,6.13,76.58,chickpea
