N,P,K,temperature,humidity,ph,rainfall,label
116,56,17,24.71,77.73,7.98,85.25,cotton
107,36,21,25.29,75.67,6.21,62.64,cotton
132,52,19,24.16,76.74,6.44,61.95,cotton
110,39,25,22.61,77.34,7.21,75.14,cotton
127,37,18,24.88,76.3,7.04,91.92,cotton
122,48,16,24.65,75.64,6.31,61.83,cotton
107,42,24,22.05,84.63,6.14,86.01,cotton
106,49,24,23.04,76.47,6.98,90.65,cotton
107,45,25,23.09,83.56,7.23,71.84,cotton
133,47,24,24.4,79.2,7.23,90.8,cotton
123,39,24,25.01,78.18,7.45,86.06,cotton
118,45,23,23.37,77.43,7.98,71.68,cotton
117,51,15,22.95,78.72,6.04,99.75,cotton
113,37,20,25.03,79.04,7.39,97.1,cotton
102,45,16,23.66,77.52,7.29,74.9,cotton
126,38,23,25.36,83.63,6.18,88.44,cotton
112,54,15,25.46,81.57,6.18,76.89,cotton
105,56,15,25.97,81.98,7.27,74.14,cotton
140,38,15,24.15,75.88,6.02,69.92,cotton
107,51,22,24.87,78.22,5.98,79.57,cotton
