N,P,K,temperature,humidity,ph,rainfall,label
7,28,35,30.02,46.78,4.67,96.64,mango
23,23,30,32.82,47.46,4.76,90.89,mango
18,20,26,31.67,51.99,5.44,89.98,mango
34,34,35,27.27,47.17,6.42,95.26,mango
31,29,26,28.22,47.41,5.02,97.77,mango
9,29,34,29.38,45.89,5.73,100.81,mango
30,17,31,31.2,54.5,6.8,94.63,mango
1,29,29,27.33,49.3,6.05,93.53,mango
18,19,27,27.76,52.35,4.77,94.11,mango
2,40,27,29.74,47.55,5.95,90.1,mango
14,18,30,29.81,52.14,5.19,95.75,mango
11,36,31,27.92,51.78,6.48,100.26,mango
9,38,25,34.59,50.34,5.5,100.31,mango
12,34,28,33.36,45.02,6.14,98.82,mango
7,31,27,31.33,47.59,6.52,94.67,mango
0,21,32,35.9,54.26,6.43,92.2,mango
14,18,35,31.09,47.02,4.79,91.47,mango
40,16,35,31.89,49.02,6.48,89.59,mango
37,30,34,27.54,53.64,6.8,99.35,mango
33,29,34,31.41,49.22,6.83,93.0,mango
