N,P,K,temperature,humidity,ph,rainfall,label
83,15,49,28.93,91.39,6.44,23.2,muskmelon
93,22,48,29.13,91.52,6.78,21.9,muskmelon
115,12,52,27.51,94.96,6.69,21.02,muskmelon
99,12,52,28.7,94.31,6.0,22.22,muskmelon
106,10,49,27.73,92.01,6.35,20.21,muskmelon
108,22,47,28.54,91.73,6.16,25.13,muskmelon
107,12,46,29.57,93.62,6.56,27.57,muskmelon
82,20,54,29.34,90.02,6.54,21.45,muskmelon
81,30,48,28.52,92.1,6.04,29.87,muskmelon
115,17,55,27.58,94.12,6.78,28.08,muskmelon
82,18,48,29.1,94.17,6.16,26.71,muskmelon
100,17,48,29.73,94.3,6.37,26.52,muskmelon
94,5,55,28.59,91.89,6.09,26.88,muskmelon
107,11,54,28.59,91.34,6.09,29.44,muskmelon
80,18,51,28.05,91.82,6.71,20.77,muskmelon
95,26,45,29.92,94.56,6.12,28.16,muskmelon
80,18,52,27.87,91.15,6.48,24.05,muskmelon
86,18,45,28.97,90.72,6.57,22.26,muskmelon
83,7,45,29.08,90.74,6.7,25.33,muskmelon
110,25,54,28.91,90.78,6.43,23.44,muskmelon
