N,P,K,temperature,humidity,ph,rainfall,label
24,30,11,32.4,94.52,6.6,113.25,orange
14,22,9,17.25,91.14,6.54,112.51,orange
31,5,14,17.67,91.7,6.58,110.69,orange
40,22,6,24.54,91.91,6.49,115.98,orange
40,21,8,34.91,92.88,7.42,102.19,orange
1,17,6,10.79,91.38,6.82,117.53,orange
8,7,10,28.26,91.98,6.93,105.21,orange
32,25,9,10.36,93.76,7.8,101.15,orange
21,17,15,23.98,91.55,7.46,118.49,orange
22,30,12,15.78,92.51,6.35,119.04,orange
13,5,8,23.85,90.11,7.47,103.92,orange
29,25,14,30.49,90.46,7.78,113.33,orange
5,8,5,11.03,92.23,6.56,112.77,orange
15,14,8,10.01,90.22,6.22,119.39,orange
20,29,10,29.07,93.27,7.37,100.79,orange
20,7,9,29.48,91.58,7.13,111.17,orange
14,19,14,17.68,94.36,6.7,108.06,orange
37,18,12,10.27,90.19,7.4,106.7,orange
6,9,12,31.08,90.14,7.03,109.69,orange
33,12,15,30.26,92.03,6.05,116.72,orange
