N,P,K,temperature,humidity,ph,rainfall,label
39,69,53,25.93,93.02,6.96,241.82,papaya
49,54,50,25.62,93.18,6.76,97.26,papaya
69,67,52,27.72,94.44,6.83,82.83,papaya
42,60,47,33.47,92.13,6.83,136.83,papaya
60,58,51,42.07,92.92,6.84,165.74,papaya
50,47,48,24.64,90.62,6.71,218.23,papaya
61,64,52,43.3,92.83,6.64,110.56,papaya
32,55,52,37.59,92.0,6.97,159.66,papaya
58,51,47,42.13,91.7,6.76,197.4,papaya
61,68,50,35.21,91.5,6.79,243.07,papaya
54,65,47,27.93,91.56,6.72,149.91,papaya
44,56,49,39.23,91.26,6.52,64.45,papaya
56,50,52,33.09,92.25,6.77,88.13,papaya
39,70,52,26.27,90.8,6.65,59.49,papaya
51,57,55,24.71,90.15,6.68,108.41,papaya
31,68,45,42.92,90.08,6.94,196.24,papaya
50,60,47,32.58,92.75,6.93,93.79,papaya
52,51,53,38.38,93.1,6.99,210.27,papaya
44,64,54,29.81,91.38,6.74,232.7,papaya
34,68,51,27.35,94.18,6.69,40.35,papaya
