N,P,K,temperature,humidity,ph,rainfall,label
18,9,40,19.45,89.02,5.63,106.16,pomegranate
13,7,43,18.2,91.12,7.01,109.66,pomegranate
34,9,36,22.81,86.34,6.28,110.44,pomegranate
9,25,41,24.82,91.91,5.97,109.29,pomegranate
37,11,36,24.25,85.56,6.71,106.92,pomegranate
19,17,39,24.72,85.56,6.73,111.28,pomegranate
22,23,44,20.13,89.32,6.14,107.34,pomegranate
10,5,42,20.24,91.09,6.89,109.25,pomegranate
14,5,36,24.93,85.19,5.83,104.77,pomegranate
2,24,38,24.56,91.64,5.92,111.97,pomegranate
5,15,38,18.26,88.17,5.71,108.08,pomegranate
17,18,43,24.49,90.84,5.84,103.2,pomegranate
8,23,38,19.3,87.18,7.01,105.48,pomegranate
25,17,40,18.91,87.75,6.61,111.28,pomegranate
9,16,36,23.78,92.93,5.89,106.98,pomegranate
0,27,38,22.45,89.9,6.74,109.39,pomegranate
22,9,44,24.72,88.88,5.74,112.19,pomegranate
14,8,43,21.93,94.46,7.05,111.72,pomegranate
36,7,37,19.87,86.36,5.78,108.32,pomegranate
34,21,42,18.76,89.93,6.65,111.02,pomegranate
