N,P,K,temperature,humidity,ph,rainfall,label
67,43,39,26.04,84.97,6.0,186.75,rice
65,60,43,21.97,81.9,5.66,227.36,rice
61,52,41,24.98,83.89,6.88,204.8,rice
91,35,38,24.9,80.53,6.13,183.68,rice
85,52,45,26.31,82.37,7.22,265.54,rice
63,44,41,24.17,83.73,5.58,257.03,rice
67,59,41,21.95,80.97,6.01,213.36,rice
68,57,43,26.09,80.38,5.71,182.9,rice
91,53,40,26.53,81.42,5.39,264.61,rice
90,42,43,20.88,82.0,6.5,202.94,rice
77,38,36,21.87,80.19,5.95,224.56,rice
73,57,41,21.45,84.94,5.82,272.2,rice
78,43,42,21.32,83.0,7.28,192.32,rice
98,53,38,20.27,81.64,5.01,270.44,rice
93,53,38,26.93,81.91,7.07,290.68,rice
78,42,42,20.13,81.6,7.63,262.72,rice
67,47,44,26.73,81.79,7.87,280.4,rice
73,35,38,24.89,81.98,5.01,185.95,rice
78,58,44,26.8,80.89,5.11,284.44,rice
92,35,40,22.18,80.33,6.36,200.09,rice
