N,P,K,temperature,humidity,ph,rainfall,label
67,43,39,26.04,84.97,6.0,186.75,rice
65,60,43,21.97,81.9,5.66,227.36,rice
71,52,18,25.11,55.98,5.79,78.16,maize
60,38,17,18.42,64.24,6.47,76.41,maize
53,73,77,19.71,18.1,7.33,73.64,chickpea
29,77,75,17.5,15.48,7.78,72.94,chickpea
14,59,15,21.35,22.91,5.78,146.45,kidneybeans
3,77,25,24.85,22.89,5.61,62.21,kidneybeans
39,57,19,29.32,45.93,6.42,165.41,pigeonpeas
5,55,18,33.51,45.71,7.32,126.67,pigeonpeas
29,41,21,31.49,62.85,8.87,64.57,mothbeans
39,36,22,29.34,60.5,9.07,34.03,mothbeans
24,44,17,29.86,80.03,6.67,50.66,mungbean
21,44,18,27.07,86.9,7.13,50.47,mungbean
58,79,17,27.25,66.1,7.04,62.32,blackgram
33,75,21,33.05,68.94,6.69,62.3,blackgram
14,76,20,29.06,62.11,7.04,36.5,lentil
32,79,22,27.6,63.46,5.92,54.38,lentil
18,9,40,19.45,89.02,5.63,106.16,pomegranate
13,7,43,18.2,91.12,7.01,109.66,pomegranate
95,88,52,28.0,78.9,6.24,94.68,banana
93,81,50,27.72,76.58,6.04,102.21,banana
7,28,35,30.02,46.78,4.67,96.64,mango
23,23,30,32.82,47.46,4.76,90.89,mango
39,140,203,21.12,80.63,6.35,69.28,grapes
8,139,199,29.37,81.54,6.34,66.13,grapes
114,21,55,25.44,87.94,6.47,57.52,watermelon
82,23,49,26.81,87.22,6.87,51.7,watermelon
83,15,49,28.93,91.39,6.44,23.2,muskmelon
93,22,48,29.13,91.52,6.78,21.9,muskmelon
38,135,203,23.76,93.66,5.97,100.83,apple
28,136,200,23.06,92.4,6.25,114.74,apple
24,30,11,32.4,94.52,6.6,113.25,orange
14,22,9,17.25,91.14,6.54,112.51,orange
39,69,53,25.93,93.02,6.96,241.82,papaya
49,54,50,25.62,93.18,6.76,97.26,papaya
17,29,26,26.14,93.28,6.07,195.41,coconut
116,56,17,24.71,77.73,7.98,85.25,cotton
90,50,44,26.92,73.49,6.25,171.47,jute
93,26,27,24.59,56.47,7.29,137.7,coffee
