N,P,K,temperature,humidity,ph,rainfall,label
114,21,55,25.44,87.94,6.47,57.52,watermelon
82,23,49,26.81,87.22,6.87,51.7,watermelon
97,22,50,26.26,86.15,6.77,58.98,watermelon
101,20,48,24.68,82.75,6.21,57.06,watermelon
103,16,49,24.07,81.64,6.92,51.75,watermelon
80,16,46,25.5,81.4,6.94,48.48,watermelon
120,19,49,25.79,84.27,6.76,56.45,watermelon
113,30,50,26.04,83.99,6.28,43.88,watermelon
83,25,53,26.49,80.05,6.06,57.73,watermelon
119,25,51,26.47,80.92,6.28,53.66,watermelon
81,18,50,26.81,88.23,6.43,58.8,watermelon
118,15,45,24.21,84.21,6.54,48.01,watermelon
104,23,47,26.98,86.7,6.77,42.91,watermelon
99,5,47,24.13,84.84,6.65,51.19,watermelon
89,25,54,24.69,85.57,6.35,48.99,watermelon
93,22,52,26.59,81.33,6.93,41.88,watermelon
92,7,45,26.71,81.14,6.94,51.51,watermelon
81,18,50,26.44,80.92,6.51,47.82,watermelon
101,10,47,25.54,83.32,6.94,57.57,watermelon
92,21,48,25.82,82.04,6.38,54.83,watermelon
