Fp1,Fp2,F3,F4,C3,C4
2.45335,0.66013,-1.86922,-2.73299,-0.62294,0.35756
2.64384,1.01563,-1.62702,-2.33545,-0.22085,0.58896
2.75256,0.56296,-2.09570,-2.19334,-0.03420,0.67466
2.53181,0.38362,-2.07459,-2.60851,-0.23634,0.57045
2.41725,0.06066,-2.44460,-2.53355,-0.22825,0.42240
2.48342,0.09967,-2.27915,-2.21367,0.18352,0.45454
2.63812,-0.01007,-2.11411,-2.19031,0.44790,0.89662
2.25120,0.10120,-2.18188,-2.07120,0.36461,0.94748
2.13616,-0.46588,-2.29194,-2.14894,0.33248,0.89221
2.10427,-0.45649,-2.53949,-2.24822,0.37005,0.99204
2.10772,-0.64955,-2.42641,-2.18487,0.32544,1.16315
2.14960,-0.47964,-2.41743,-1.85850,0.85294,1.42146
1.99140,-0.46253,-2.50097,-1.94722,0.98720,1.32382
1.64277,-1.03978,-2.76947,-1.81951,0.89958,1.39013
1.47101,-1.00444,-2.78089,-1.82491,1.07447,1.34443
1.51057,-1.12747,-2.92013,-1.58371,1.08539,1.55519
1.51602,-1.04045,-2.61584,-1.13188,1.11476,1.61933
1.19633,-1.53656,-2.37400,-1.08434,1.25490,1.52804
0.83490,-1.68446,-2.62353,-1.21228,1.19480,1.61954
0.72830,-1.52246,-2.54122,-1.40249,1.12566,1.35170
0.60440,-1.57194,-2.49590,-1.03839,1.02570,1.65526
0.97448,-1.61613,-2.15833,-0.84824,1.47908,2.02172
0.69930,-1.26468,-1.99786,-0.54060,1.50867,2.20545
0.59275,-1.68108,-1.94317,-0.80303,1.64644,1.96288
0.25057,-1.68596,-2.02013,-0.87596,1.42883,2.01579
0.39833,-1.54227,-1.87259,-0.60685,1.61149,2.13276
0.70895,-1.27236,-2.01537,-0.23403,1.85336,2.27860
0.64478,-1.15126,-1.66337,0.05533,2.22545,2.38774
0.42019,-1.68011,-1.64008,0.28890,2.04001,2.25728
0.05108,-1.87237,-1.99775,0.16081,1.96662,1.92735
0.28924,-2.05458,-2.15077,-0.03137,1.63318,1.94701
0.12923,-1.69345,-1.63437,0.52259,1.79932,2.21364
0.08826,-1.44869,-1.48835,0.42719,1.90280,2.58680
0.05560,-1.45517,-1.47009,0.33123,2.17560,2.47264
-0.27929,-1.82579,-1.48875,0.15520,1.93851,2.58771
-0.28088,-1.63639,-1.52252,0.23542,1.81363,2.64071
0.09926,-1.79030,-1.41676,0.58833,2.05785,2.73463
0.09519,-1.77793,-1.37834,0.68062,2.60210,2.87388
0.06001,-1.47692,-1.51134,0.56056,2.45146,3.03087
-0.37726,-1.92999,-1.53080,0.61373,2.50871,3.03495
-0.20015,-1.76901,-1.32235,0.47463,2.35249,2.81501
-0.37911,-1.92526,-1.38720,0.85369,2.72970,3.15611
-0.36491,-1.85846,-1.20469,1.04601,2.92880,3.33710
-0.42856,-2.03143,-1.43927,0.99405,2.70660,2.92278
-0.57222,-2.15461,-1.51624,0.77900,2.44416,2.98613
-0.69530,-2.28449,-1.25096,0.85623,2.84742,2.87662
-0.66773,-1.82813,-0.78421,0.78228,2.74070,3.08237
-0.71651,-1.66054,-0.83103,1.22746,2.94686,3.37952
-0.81198,-1.64162,-0.73024,1.38762,3.16789,3.18194
-0.98408,-1.86392,-1.02609,1.06535,3.13527,3.36010
-1.31635,-1.97915,-0.92976,1.07345,2.88274,3.18127
-1.11999,-2.10595,-0.96293,1.65901,3.43896,3.26826
-0.86224,-1.69334,-0.75722,1.77417,3.56573,3.40270
-1.04808,-1.73806,-0.60710,2.19483,3.54308,2.97418
-1.14435,-2.24473,-0.66469,1.79817,3.31166,2.98677
-1.35427,-2.13594,-0.98325,1.79046,2.96491,2.41542
-1.64209,-2.41160,-0.80872,2.28508,3.19101,2.51332
-1.60381,-2.15309,-0.31508,2.43404,3.26877,2.67425
-1.70267,-1.89103,-0.10290,2.39385,3.29873,2.53149
-1.66864,-2.13603,-0.26102,2.52616,2.87022,2.09366
-2.07025,-2.28133,-0.20088,2.22485,2.55621,1.90876
-1.94050,-1.95970,-0.14616,2.28807,2.55396,1.97393
-2.11793,-2.11612,0.46044,2.77462,2.81059,2.12941
-2.00159,-1.89566,0.33433,2.64658,2.93471,2.23746
-2.25210,-1.87839,0.57825,2.66656,2.56210,2.01401
-2.21550,-2.03852,0.58748,2.77329,2.19842,1.73644
-2.18144,-1.73815,0.72072,3.02409,2.42781,1.71635
-2.17569,-1.85579,0.83743,3.20414,2.18701,1.63798
-2.18714,-1.54850,1.00257,3.00197,2.40512,1.66260
-2.73973,-1.75821,1.04858,3.04011,2.09840,1.18906
-2.58532,-1.83755,1.01850,2.78430,1.74410,1.29459
-2.84833,-1.42639,1.55876,2.79987,1.80258,1.12496
-2.52034,-0.87736,1.76263,2.85713,1.88943,1.33568
-2.16488,-0.69132,2.00287,3.02505,1.73741,1.32314
-2.31464,-0.84550,2.07052,2.87191,1.46592,1.36312
-2.56961,-0.82346,1.81053,2.76443,1.54955,1.24748
-2.39664,-0.54758,1.65390,2.66599,1.48529,1.21824
-2.14981,-0.33378,2.12697,3.11454,1.43863,1.07948
-1.90896,-0.26527,2.34176,3.18379,1.67187,1.09015
-1.73640,-0.18530,2.26799,3.02731,1.75385,1.03798
-2.16010,-0.31613,1.97981,2.99723,1.14350,0.68702
-1.97215,-0.39282,1.98918,2.64832,1.25787,0.51045
-1.94048,-0.30919,2.06804,2.62869,1.22706,0.51131
-1.60727,0.15080,2.18599,2.68326,1.36235,0.75763
-1.87532,0.19486,2.06126,2.66824,1.23642,0.53099
-1.72906,-0.02970,2.17742,2.22963,0.82895,0.54103
-1.82049,0.04725,1.93454,2.41570,0.80724,0.27540
-1.60638,0.15025,2.24738,2.13742,0.85565,0.19805
-1.64360,0.33083,2.18353,2.27049,0.84693,0.38853
-1.29543,0.32779,2.18821,2.34680,0.60251,0.16902
