N,P,K,temperature,humidity,ph,rainfall,label
95,88,52,28.0,78.9,6.24,94.68,banana
93,81,50,27.72,76.58,6.04,102.21,banana
108,72,46,25.16,84.98,6.11,90.95,banana
82,78,46,25.06,84.97,5.74,110.44,banana
109,91,53,29.67,83.51,6.01,110.25,banana
91,84,52,29.15,78.71,6.39,117.54,banana
94,70,48,25.14,84.88,6.2,91.46,banana
99,92,47,28.13,77.48,6.32,103.5,banana
118,88,52,28.65,82.69,5.84,98.75,banana
91,94,46,29.37,76.25,6.15,92.83,banana
100,76,45,25.57,75.94,5.59,102.79,banana
93,91,47,27.85,83.31,6.1,117.29,banana
111,88,55,29.45,78.35,5.51,96.45,banana
102,71,48,28.65,79.29,5.7,102.46,banana
117,82,45,25.29,79.29,5.61,105.42,banana
80,77,49,26.05,79.4,5.52,113.23,banana
89,91,55,25.08,80.26,6.28,94.33,banana
89,85,55,26.67,76.49,6.28,91.73,banana
95,75,50,28.08,75.26,5.62,118.28,banana
92,81,52,27.39,81.47,6.44,94.31,banana
