N,P,K,temperature,humidity,ph,rainfall,label
17,29,26,26.14,93.28,6.07,195.41,coconut
24,27,34,28.88,95.11,6.2,145.06,coconut
26,18,27,27.46,92.91,5.84,142.14,coconut
39,7,29,27.54,94.59,6.36,150.2,coconut
28,10,30,29.87,91.15,6.31,192.77,coconut
14,21,35,29.53,91.91,6.12,194.31,coconut
1,8,26,27.51,94.19,5.56,156.67,coconut
35,30,34,28.3,95.41,6.14,182.45,coconut
16,18,26,28.44,91.81,5.57,145.54,coconut
18,30,29,26.76,92.86,6.42,224.59,coconut
22,11,29,28.03,95.02,5.96,218.01,coconut
16,6,29,29.29,91.96,5.87,132.15,coconut
23,7,34,26.11,91.52,5.85,134.13,coconut
8,6,33,28.28,93.65,6.1,171.95,coconut
27,10,33,27.81,97.48,6.47,154.06,coconut
10,18,35,27.8,99.65,6.38,181.69,coconut
25,12,26,28.57,95.68,6.44,134.84,coconut
40,5,32,26.07,96.7,5.98,143.53,coconut
27,8,32,27.01,96.46,5.63,144.33,coconut
32,11,31,25.07,93.31,6.21,134.84,coconut
