N,P,K,temperature,humidity,ph,rainfall,label
93,26,27,24.59,56.47,7.29,137.7,coffee
120,20,34,23.57,50.56,6.91,130.38,coffee
114,20,26,25.56,62.67,7.28,193.59,coffee
113,15,29,27.1,63.55,6.78,190.24,coffee
87,23,28,26.22,62.27,6.98,193.75,coffee
113,21,33,26.02,55.83,7.28,176.9,coffee
120,23,28,25.67,51.29,6.88,196.27,coffee
80,18,31,24.03,58.85,7.3,134.68,coffee
84,36,28,26.74,55.55,6.12,140.63,coffee
91,21,26,26.33,57.36,7.26,191.65,coffee
109,29,28,23.26,60.52,6.72,194.18,coffee
98,27,27,24.71,51.29,7.24,197.64,coffee
119,30,28,26.36,64.58,6.51,163.63,coffee
82,24,33,26.54,67.1,6.81,120.65,coffee
103,40,30,27.31,55.2,6.35,141.48,coffee
116,28,34,23.44,60.4,6.42,122.21,coffee
86,40,33,26.14,52.26,7.43,136.3,coffee
117,37,32,23.11,67.06,6.79,162.58,coffee
99,15,27,27.04,57.28,6.5,165.69,coffee
118,21,34,24.39,64.73,7.23,119.63,coffee
