N,P,K,temperature,humidity,ph,rainfall,label
39,140,203,21.12,80.63,6.35,69.28,grapes
8,139,199,29.37,81.54,6.34,66.13,grapes
6,140,205,17.67,82.93,6.31,69.87,grapes
31,136,197,31.11,83.34,5.65,71.43,grapes
19,123,200,34.76,81.04,6.17,65.7,grapes
20,122,204,11.8,80.86,6.49,65.07,grapes
36,133,198,25.52,83.98,6.23,69.17,grapes
33,120,205,35.12,82.27,5.55,69.72,grapes
25,130,197,39.71,82.69,5.55,74.92,grapes
24,130,195,30.0,81.54,6.11,67.13,grapes
28,122,197,19.89,82.73,5.86,69.66,grapes
26,135,203,33.78,81.16,5.69,74.54,grapes
35,135,199,21.77,80.55,6.4,69.4,grapes
9,141,202,21.01,81.18,6.12,66.38,grapes
38,141,198,13.06,80.28,5.76,70.76,grapes
24,131,196,22.03,83.74,5.73,65.34,grapes
25,129,195,17.99,81.18,5.78,72.37,grapes
16,130,201,29.12,82.79,5.68,68.85,grapes
9,122,201,29.59,80.92,5.57,68.06,grapes
7,126,203,16.76,82.0,5.66,73.29,grapes
