N,P,K,temperature,humidity,ph,rainfall,label
90,50,44,26.92,73.49,6.25,171.47,jute
100,58,41,23.17,87.88,6.66,160.62,jute
61,41,35,24.97,79.48,6.84,195.76,jute
75,41,35,24.97,78.63,6.86,166.64,jute
94,37,41,24.76,87.06,6.46,179.16,jute
90,48,45,24.06,71.31,6.51,153.64,jute
84,55,38,26.87,79.79,6.96,173.1,jute
65,54,39,23.75,71.15,7.12,160.09,jute
89,53,44,24.89,71.92,7.32,150.25,jute
89,47,38,25.52,72.25,6.0,151.89,jute
82,35,44,26.97,78.21,6.24,169.84,jute
69,57,35,24.31,78.54,6.19,186.23,jute
90,59,35,24.25,89.86,7.1,175.17,jute
72,51,40,23.21,74.1,7.42,199.48,jute
80,43,43,23.79,74.37,6.01,172.64,jute
96,41,40,23.58,72.0,6.09,190.42,jute
84,37,42,25.5,81.13,6.69,169.93,jute
72,41,36,24.1,80.57,6.19,176.86,jute
89,41,38,23.13,74.68,6.34,199.84,jute
81,36,38,23.77,87.98,6.33,150.32,jute
