N,P,K,temperature,humidity,ph,rainfall,label
14,59,15,21.35,22.91,5.78,146.45,kidneybeans
3,77,25,24.85,22.89,5.61,62.21,kidneybeans
37,56,25,22.06,19.6,5.77,126.73,kidneybeans
17,77,24,20.77,18.93,5.57,109.02,kidneybeans
27,56,22,19.92,20.7,5.83,108.64,kidneybeans
7,79,23,19.64,19.69,5.82,96.66,kidneybeans
22,70,19,18.24,21.08,5.52,69.45,kidneybeans
32,79,15,23.91,20.75,5.71,81.6,kidneybeans
28,58,24,19.73,18.28,5.75,143.76,kidneybeans
13,60,25,17.14,20.6,5.69,128.26,kidneybeans
10,55,23,21.19,19.63,5.73,137.19,kidneybeans
17,77,23,24.51,20.82,5.67,64.19,kidneybeans
22,80,20,23.01,18.87,5.67,100.12,kidneybeans
9,77,17,20.12,24.45,5.78,106.16,kidneybeans
20,73,22,16.04,22.33,5.98,130.39,kidneybeans
2,61,20,22.14,23.02,5.96,76.64,kidneybeans
27,69,22,17.92,24.91,5.93,69.15,kidneybeans
31,75,18,15.47,21.44,5.82,88.89,kidneybeans
28,80,17,19.62,18.67,5.81,144.16,kidneybeans
37,72,18,18.88,24.54,5.72,105.41,kidneybeans
