N,P,K,temperature,humidity,ph,rainfall,label
14,76,20,29.06,62.11,7.04,36.5,lentil
32,79,22,27.6,63.46,5.92,54.38,lentil
26,66,22,18.06,65.1,6.3,51.55,lentil
24,61,17,22.64,65.45,6.23,38.3,lentil
22,55,16,23.79,68.03,6.52,49.74,lentil
28,58,25,27.48,62.05,6.86,37.81,lentil
12,66,20,27.41,63.42,7.34,44.43,lentil
7,63,24,19.56,64.45,6.82,53.05,lentil
6,77,20,25.79,60.28,6.06,49.14,lentil
32,76,15,28.05,63.5,7.6,43.36,lentil
22,67,22,29.03,64.49,7.48,54.94,lentil
30,79,22,18.29,69.49,6.25,48.6,lentil
33,59,19,23.19,62.75,7.64,49.55,lentil
10,78,18,18.54,62.71,6.3,44.08,lentil
37,77,20,25.93,68.71,7.08,51.02,lentil
37,71,16,26.29,68.52,7.32,46.14,lentil
10,75,17,18.44,68.05,7.73,39.01,lentil
30,61,18,27.15,67.03,6.16,52.51,lentil
3,69,23,28.67,63.19,7.3,42.96,lentil
3,63,16,24.38,61.18,6.87,53.14,lentil
