N,P,K,temperature,humidity,ph,rainfall,label
71,52,18,25.11,55.98,5.79,78.16,maize
60,38,17,18.42,64.24,6.47,76.41,maize
99,39,18,19.2,68.31,6.11,87.85,maize
96,46,22,20.58,69.0,6.5,66.29,maize
69,51,23,22.22,72.85,6.8,106.62,maize
76,57,18,18.98,74.53,6.09,94.26,maize
74,56,22,18.28,66.66,6.83,80.98,maize
90,52,25,25.97,69.36,6.82,103.22,maize
70,44,19,23.32,73.45,5.85,94.3,maize
71,54,16,22.61,63.69,5.75,87.76,maize
66,53,19,23.09,60.12,6.03,65.5,maize
87,35,25,21.45,63.16,6.18,65.89,maize
94,50,19,23.3,73.63,5.87,97.59,maize
64,35,23,23.02,61.89,5.68,63.04,maize
79,59,17,20.38,63.74,6.64,108.51,maize
61,38,20,18.48,62.7,5.97,65.44,maize
74,39,23,22.63,65.77,6.78,88.17,maize
81,49,20,18.04,60.61,5.51,104.23,maize
62,52,16,22.28,58.84,6.97,63.87,maize
63,43,19,18.52,55.53,6.64,90.99,maize
