N,P,K,temperature,humidity,ph,rainfall,label
29,41,21,31.49,62.85,8.87,64.57,mothbeans
39,36,22,29.34,60.5,9.07,34.03,mothbeans
23,58,19,24.17,58.25,5.24,59.19,mothbeans
29,44,20,30.04,63.56,8.62,31.83,mothbeans
32,48,18,26.46,56.4,5.99,64.16,mothbeans
9,49,16,30.88,41.37,7.66,55.05,mothbeans
9,51,19,27.04,49.33,5.49,48.25,mothbeans
20,45,16,29.94,54.62,4.63,45.44,mothbeans
40,49,17,31.02,45.89,6.69,53.57,mothbeans
3,49,18,27.91,64.71,3.69,32.68,mothbeans
7,45,22,25.51,44.83,9.93,74.33,mothbeans
22,44,24,24.31,56.33,6.03,59.0,mothbeans
26,51,25,28.76,52.63,7.79,55.22,mothbeans
7,56,23,26.34,40.01,5.55,55.5,mothbeans
35,38,19,25.33,63.18,9.11,32.71,mothbeans
29,54,16,27.78,54.65,8.15,32.05,mothbeans
24,45,19,26.86,48.82,5.95,34.74,mothbeans
7,40,17,31.21,40.93,8.53,53.79,mothbeans
27,43,23,31.7,56.85,5.88,44.94,mothbeans
17,43,22,30.06,45.9,5.5,41.06,mothbeans
