N,P,K,temperature,humidity,ph,rainfall,label
24,44,17,29.86,80.03,6.67,50.66,mungbean
21,44,18,27.07,86.9,7.13,50.47,mungbean
20,41,20,29.27,89.49,7.07,50.92,mungbean
2,39,15,28.07,82.91,6.48,49.62,mungbean
20,45,22,29.59,89.99,6.9,54.96,mungbean
14,57,15,29.88,83.15,6.62,40.12,mungbean
28,45,23,29.65,80.3,6.49,56.76,mungbean
38,36,21,28.03,84.88,6.56,36.12,mungbean
28,35,22,29.53,86.73,7.16,59.87,mungbean
19,55,20,27.43,87.81,7.19,54.73,mungbean
19,35,24,27.11,83.64,6.88,49.12,mungbean
35,41,18,28.71,81.59,6.71,59.87,mungbean
14,37,15,27.96,83.98,6.58,48.94,mungbean
4,36,22,27.61,86.13,7.01,43.8,mungbean
26,54,17,28.55,88.96,6.27,49.49,mungbean
22,56,17,29.88,87.33,6.89,44.75,mungbean
22,37,20,27.63,86.49,6.61,39.26,mungbean
40,51,17,28.66,86.12,6.86,50.02,mungbean
24,42,23,28.22,82.36,6.43,44.01,mungbean
6,48,24,28.64,84.61,6.79,48.48,mungbean
