N,P,K,temperature,humidity,ph,rainfall,label
39,57,19,29.32,45.93,6.42,165.41,pigeonpeas
5,55,18,33.51,45.71,7.32,126.67,pigeonpeas
3,60,19,25.75,40.72,4.82,100.78,pigeonpeas
23,75,25,31.08,47.2,7.08,91.31,pigeonpeas
16,73,19,18.42,34.81,4.68,163.27,pigeonpeas
39,60,15,35.09,30.99,5.0,116.91,pigeonpeas
16,55,19,19.54,47.19,6.41,192.44,pigeonpeas
27,74,20,24.69,59.97,5.86,91.96,pigeonpeas
33,58,24,35.46,68.76,5.27,108.63,pigeonpeas
3,72,24,36.51,57.93,6.03,122.65,pigeonpeas
26,67,24,36.98,37.74,5.64,161.48,pigeonpeas
6,69,19,26.89,41.7,4.75,94.47,pigeonpeas
37,73,21,29.5,63.47,5.56,189.52,pigeonpeas
27,71,23,23.45,46.49,7.11,150.87,pigeonpeas
23,55,16,21.01,69.69,5.11,185.2,pigeonpeas
10,79,18,21.06,55.47,5.62,184.62,pigeonpeas
31,56,23,31.47,35.39,5.66,174.57,pigeonpeas
0,70,21,36.3,56.03,4.67,101.61,pigeonpeas
31,72,17,28.69,49.47,5.83,96.36,pigeonpeas
26,73,21,31.33,57.97,4.95,161.78,pigeonpeas
